,words
day,998
old,997
com,992
run,990
x,989
true,985
having,983
found,979
done,973
following,968
seen,967
looking,967
windows,965
else,965
power,964
end,964
available,951
call,951
god,947
high,942
yes,941
nothing,940
second,937
yet,932
quite,931
hard,925
others,923
maybe,919
less,918
program,914
line,911
isn,906
keep,905
name,900
trying,900
wrong,899
reason,899
government,897
place,896
always,895
ever,894
mean,890
above,888
several,885
thought,884
getting,884
order,876
doing,873
once,870
bad,856
state,855
heard,853
non,852
example,849
next,849
group,847
drive,846
support,846
given,843
problems,841
idea,836
life,829
kind,819
based,818
person,808
three,808
won,807
away,807
times,802
start,800
until,800
big,796
interested,793
software,793
seem,792
means,785
ago,781
data,779
makes,770
free,770
whether,769
remember,768
already,767
email,764
computer,760
send,757
hope,755
perhaps,751
general,749
pretty,749
list,745
during,741
change,735
small,734
says,731
file,731
note,729
ask,724
left,722
game,722
works,719
whole,716
full,715
b,709
stuff,704
large,700
public,698
man,692
version,690
control,688
original,685
o,685
cannot,683
running,682
local,680
subject,680
article,674
came,673
comes,672
card,668
law,667
book,667
hand,658
show,656
today,655
days,655
feel,654
word,645
hi,643
instead,641
matter,639
saying,638
guess,637
price,636
space,634
agree,634
simply,632
answer,631
mind,631
buy,630
understand,629
making,628
source,628
anyway,627
tried,625
including,618
almost,618
questions,618
car,616
p,614
certainly,614
home,613
often,612
news,610
although,609
type,609
later,606
current,605
money,601
issue,601
u,598
important,597
working,595
told,594
pc,594
advance,593
unless,592
similar,587
net,584
standard,583
wouldn,583
info,582
side,581
nice,580
especially,579
cause,579
everything,576
everyone,575
anybody,575
sort,573
key,566
g,565
area,565
address,565
couple,565
fine,562
known,561
university,559
within,558
except,556
w,553
live,552
phone,551
speed,550
her,549
low,546
machine,546
team,543
open,543
check,537
interesting,536
evidence,535
usually,535
message,535
sorry,534
she,533
human,533
simple,531
systems,529
goes,529
difference,525
consider,525
rest,521
clear,521
claim,521
ok,520
r,520
exactly,519
haven,519
due,517
whatever,517
files,516
major,515
likely,515
include,515
cost,514
john,514
play,513
code,513
certain,512
care,511
correct,509
american,507
themselves,507
went,503
started,502
access,499
posted,496
experience,496
talk,496
single,494
recently,493
games,493
sense,493
itself,493
children,492
easy,492
short,491
dos,490
national,490
common,489
posting,489
reading,489
box,488
thus,488
sale,487
write,485
past,485
appreciated,485
months,482
level,482
history,482
deal,481
copy,481
asked,479
david,478
add,478
oh,478
provide,477
memory,476
pay,472
talking,472
ones,471
gets,471
wanted,469
uses,468
took,468
words,468
become,468
video,466
disk,466
particular,464
chip,464
stop,464
mac,462
via,462
offer,461
needs,461
graphics,461
christian,460
hear,460
sell,458
soon,456
taken,455
form,455
personal,453
research,452
states,451
top,451
window,450
discussion,447
close,446
self,446
week,444
four,444
position,444
taking,442
saw,442
view,441
n,441
turn,440
country,438
size,438
fast,436
contact,436
among,436
aren,435
happen,435
third,435
early,434
along,434
night,433
h,433
per,433
head,433
effect,430
sound,430
myself,429
body,428
hardware,428
various,427
allow,427
response,426
win,426
written,425
light,425
death,425
assume,424
expect,421
sometimes,418
according,418
force,417
rights,417
knows,416
jesus,416
coming,416
looks,416
wasn,415
love,415
further,414
reply,413
front,413
board,413
asking,413
programs,412
ftp,411
house,411
upon,409
company,409
opinion,409
statement,407
therefore,407
argument,407
men,406
nor,406
currently,406
happened,405
longer,405
mentioned,405
war,404
together,404
numbers,404
situation,404
april,402
future,402
religion,401
behind,401
result,401
plus,401
move,400
special,400
l,399
friend,397
lines,396
color,396
white,395
series,395
near,394
display,393
hold,393
otherwise,393
worth,392
needed,392
bill,392
job,391
doubt,391
test,391
necessary,391
couldn,389
deleted,388
mine,388
sun,388
black,388
process,388
application,387
sounds,387
lost,387
dead,387
involved,386
sent,385
wants,385
bible,384
considered,384
text,383
half,382
willing,382
completely,381
present,381
leave,381
model,381
monitor,380
press,380
finally,380
return,380
yourself,378
v,376
ca,376
included,376
below,375
image,375
mr,374
parts,373
earth,373
guy,372
includes,372
specific,372
condition,372
screen,371
internet,371
exist,371
bought,371
value,370
complete,370
books,370
directly,369
story,369
service,369
user,368
outside,367
hell,366
main,366
face,366
cut,364
built,364
driver,363
strong,363
save,362
thank,362
center,362
thinking,361
gun,360
indeed,360
city,360
mode,359
unfortunately,359
interest,357
date,357
results,356
ibm,355
fire,355
cases,355
takes,355
entire,355
related,354
accept,354
normal,353
business,353
christians,353
hit,352
groups,351
points,351
science,350
j,350
weeks,349
period,349
chance,348
total,346
comments,346
mark,346
easily,345
none,345
required,344
follow,344
clearly,343
ideas,342
gives,341
create,341
serious,340
higher,339
error,339
road,339
suggest,339
term,339
religious,339
technology,338
purpose,338
reasons,336
sources,335
k,335
radio,334
living,334
office,334
red,334
action,333
church,333
obviously,332
changed,331
lots,331
difficult,330
gave,330
apple,330
truth,329
knowledge,328
runs,328
himself,327
performance,327
looked,326
christ,326
kill,326
paul,324
ii,324
fax,323
security,321
recent,321
reference,320
report,320
choice,319
private,319
design,318
wonder,318
supposed,317
useful,317
extra,317
killed,317
folks,317
ways,317
figure,317
anti,317
network,316
details,316
jews,315
legal,314
wait,314
manual,314
claims,314
amount,313
site,313
build,313
package,313
reasonable,313
building,312
btw,312
explain,312
f,312
terms,311
society,311
places,311
act,311
apparently,310
laws,310
rate,310
members,309
quality,309
wondering,308
bring,308
happens,308
wish,307
individual,307
faith,307
received,307
decided,306
ms,306
excellent,306
school,306
women,306
across,306
whose,305
basis,305
ground,305
season,304
neither,303
worked,303
mike,302
hello,301
issues,301
generally,301
nature,300
field,300
basic,300
police,298
israel,298
record,298
newsgroup,296
drivers,296
mention,296
bike,296
previous,295
limited,295
air,295
organization,295
release,295
military,295
ram,294
st,294
defense,294
fbi,294
appears,293
applications,293
appreciate,293
base,292
five,292
wrote,291
created,291
trouble,291
require,291
designed,291
late,290
unix,290
possibly,289
market,288
users,288
alone,287
political,287
shipping,287
study,287
inside,286
paper,286
player,286
development,286
million,286
players,286
young,285
opinions,285
giving,285
final,285
break,285
washington,284
faster,284
avoid,283
shows,283
output,283
continue,283
hours,283
server,283
technical,282
cs,282
format,282
suspect,282
average,282
project,280
jewish,280
knew,280
writing,279
faq,279
international,278
happy,278
addition,278
keys,278
month,277
manager,277
lead,277
obvious,276
greatly,276
watch,276
cover,275
family,275
turned,275
appear,275
cards,275
tv,274
attempt,274
bus,274
carry,273
united,273
internal,272
al,272
reports,271
cars,271
solution,271
command,271
class,271
allowed,271
lives,270
suppose,270
somewhere,270
york,270
earlier,270
clipper,269
forget,269
prove,269
league,269
cheap,269
plan,268
personally,268
lack,268
gone,266
population,265
voice,265
requires,265
starting,265
policy,265
regarding,264
miles,264
appropriate,263
basically,263
fairly,263
clinton,263
room,262
meaning,262
stand,262
land,262
middle,262
learn,261
perfect,261
realize,261
ability,260
changes,260
range,260
fall,260
function,260
installed,260
pass,259
peace,259
worse,259
direct,259
department,259
poor,258
beyond,258
held,258
gas,257
president,257
supply,256
steve,256
seriously,256
provided,255
apply,255
section,255
blue,254
media,254
specifically,254
language,254
somebody,254
events,253
mostly,253
attack,253
stated,253
dr,253
machines,252
request,252
shot,252
port,252
baseball,252
comment,252
hockey,252
minutes,251
serial,251
stay,251
community,251
guys,251
pro,251
lower,250
drives,250
crime,250
published,250
product,250
federal,250
fit,249
effective,249
equipment,249
imagine,249
stupid,249
sold,248
cd,248
modem,248
intended,248
device,248
particularly,248
respond,248
concerned,247
brought,247
recall,247
hands,246
america,246
scsi,246
hp,246
guns,246
child,246
suggestions,246
share,246
pick,246
court,245
understanding,245
prevent,245
expensive,245
step,245
encryption,245
weapons,245
actions,245
trade,244
choose,244
engine,244
nasa,244
christianity,243
friends,243
straight,243
y,243
calls,243
regular,242
die,242
canada,242
east,242
street,242
de,241
actual,241
putting,241
usa,241
added,240
exists,240
water,240
areas,240
dave,239
considering,239
absolutely,239
playing,239
speak,239
practice,239
notice,238
aware,238
letter,238
charge,238
method,237
commercial,237
hey,237
page,236
assuming,236
double,236
luck,236
blood,235
fully,235
approach,234
articles,234
rule,234
yeah,234
products,234
citizens,234
shown,234
caused,234
digital,233
proof,233
official,233
modern,233
library,233
paid,232
types,232
seeing,232
answers,232
costs,232
advice,232
kept,231
california,231
rules,231
besides,231
existence,230
context,230
decide,230
ready,230
companies,230
controller,230
tape,229
directory,229
member,229
described,229
wide,229
responsible,228
author,228
majority,228
receive,228
allows,228
medical,228
jim,227
goal,227
handle,227
safety,226
effort,226
input,226
interface,226
hate,226
played,225
calling,225
mass,225
switch,225
chips,224
regards,224
logic,224
ie,224
necessarily,224
west,223
uk,223
meant,223
developed,223
account,222
beginning,222
spend,222
names,222
buying,222
belief,222
slow,221
alt,221
party,221
picture,221
quick,221
north,221
heart,221
independent,221
co,221
shall,220
hot,220
theory,220
station,220
prefer,220
easier,219
search,219
begin,219
totally,219
event,219
led,219
age,218
six,218
bunch,218
definition,218
option,218
san,218
false,218
vs,218
shouldn,217
os,217
teams,217
material,217
selling,217
reported,217
michael,217
increase,216
wife,216
ed,216
helps,216
facts,216
noticed,216
freedom,216
entirely,215
quote,215
illegal,215
respect,215
accepted,215
title,214
contains,214
bob,214
magazine,214
produce,214
despite,213
impossible,213
trust,213
latest,213
mouse,213
fan,213
ac,213
western,213
additional,213
environment,212
features,212
former,212
killing,212
algorithm,212
expected,212
significant,212
gov,211
towards,211
quickly,211
posts,210
moral,210
references,209
james,209
arguments,209
setting,209
civil,209
cable,209
proper,208
scientific,208
external,208
attention,208
secret,208
mother,208
compared,208
properly,207
piece,207
volume,207
unit,207
highly,207
merely,207
inc,206
nobody,206
print,206
drug,206
admit,206
thousands,205
food,205
cross,205
values,205
images,205
effects,205
description,205
countries,205
operation,204
welcome,204
natural,204
multiple,204
greater,204
floppy,204
died,204
door,204
draw,203
eventually,203
normally,203
became,202
prices,202
printer,202
